ENSG,Degradation rates (min-1),R2 (quality of curve fitting),t1/2 (min),t1/2 (hours),Cv of slope
YFR007W,0.0011,0.995,645.4,10.8,0.5%
YLR113W,0.0011,0.996,645.5,10.8,0.4%
YJL111W,0.0011,0.998,645.8,10.8,0.2%
YBR189W,0.0011,0.995,646.5,10.8,0.3%
YPL239W,0.0011,0.998,646.5,10.8,0.1%
YBR109C,0.0011,0.997,646.7,10.8,0.2%
YPR016C,0.0011,0.998,646.9,10.8,0.2%
YER099C,0.0011,0.996,647.0,10.8,0.3%
YNL200C,0.0011,0.996,647.2,10.8,0.6%
YFR044C,0.0011,0.997,647.2,10.8,0.3%
YER101C,0.0011,0.999,647.4,10.8,0.1%
YDR498C,0.0011,0.993,647.5,10.8,0.6%
YHR045W,0.0011,0.996,647.5,10.8,0.4%
YOR122C,0.0011,0.998,647.6,10.8,0.1%
YBL076C,0.0011,0.996,647.6,10.8,0.2%
YHR163W,0.0011,0.999,648.0,10.8,0.0%
YGL094C,0.0011,0.928,648.4,10.8,2.2%
YBR164C,0.0011,0.997,648.7,10.8,0.2%
YIL021W,0.0011,0.998,648.8,10.8,0.2%
YFL045C,0.0011,0.993,648.8,10.8,0.6%
YBR022W,0.0011,0.981,648.8,10.8,2.1%
YJL167W,0.0011,0.997,648.8,10.8,0.2%
YBR011C,0.0011,0.996,648.9,10.8,0.3%
YLR389C,0.0011,0.997,649.1,10.8,0.3%
YDR161W,0.0011,0.998,649.4,10.8,0.1%
YIL138C,0.0011,0.997,650.1,10.8,0.2%
YKL088W,0.0011,0.997,650.3,10.8,0.2%
YIR008C,0.0011,0.997,650.4,10.8,0.2%
YDR155C,0.0011,0.996,650.5,10.8,0.4%
YPR181C,0.0011,0.996,650.6,10.8,0.3%
YJL190C,0.0011,0.994,650.7,10.8,0.4%
YLR367W,0.0011,0.994,650.7,10.8,0.4%
YDR321W,0.0011,0.994,650.9,10.8,0.4%
YNL259C,0.0011,0.999,651.1,10.9,0.1%
YML017W,0.0011,0.998,651.1,10.9,0.1%
YDR122W,0.0011,0.999,651.2,10.9,0.1%
YOL038W,0.0011,0.998,651.2,10.9,0.2%
YJL012C,0.0011,0.997,651.2,10.9,0.2%
YDL190C,0.0011,0.997,651.3,10.9,0.3%
YMR149W,0.0011,0.998,651.4,10.9,0.2%
YLR385C,0.0011,1.000,651.6,10.9,0.0%
YHR012W,0.0011,0.998,651.7,10.9,0.1%
YBR119W,0.0011,0.999,651.8,10.9,0.0%
YGL245W,0.0011,0.997,652.5,10.9,0.3%
YLL018C,0.0011,0.996,652.6,10.9,0.3%
YDR300C,0.0011,0.993,652.6,10.9,0.5%
YBR079C,0.0011,0.997,652.7,10.9,0.2%
YKL035W,0.0011,0.999,653.1,10.9,0.1%
YGL195W,0.0011,0.996,653.3,10.9,0.3%
YMR205C,0.0011,0.994,653.5,10.9,0.5%
YDR141C,0.0011,0.965,653.8,10.9,1.0%
YPR029C,0.0011,0.997,654.3,10.9,0.3%
YJL121C,0.0011,0.995,654.4,10.9,0.2%
YDL145C,0.0011,0.997,654.4,10.9,0.2%
YDL112W,0.0011,0.996,655.4,10.9,0.3%
YCR030C,0.0011,0.998,655.4,10.9,0.1%
YKL179C,0.0011,0.997,655.6,10.9,0.3%
YJR069C,0.0011,0.996,655.7,10.9,0.3%
YHR068W,0.0011,0.996,655.8,10.9,0.3%
YML028W,0.0011,0.997,655.9,10.9,0.1%
YHR019C,0.0011,0.996,655.9,10.9,0.3%
YFL038C,0.0011,0.997,656.0,10.9,0.2%
YEL058W,0.0011,0.996,656.3,10.9,0.3%
YNL247W,0.0011,0.998,656.4,10.9,0.1%
YPR041W,0.0011,0.997,656.7,10.9,0.2%
YER087C-B,0.0011,0.996,656.9,10.9,0.3%
YFR052W,0.0011,0.998,657.0,10.9,0.2%
YLR109W,0.0011,0.998,657.1,11.0,0.1%
YER127W,0.0011,0.998,657.3,11.0,0.1%
YGR049W,0.0011,0.985,657.3,11.0,1.3%
YOL040C,0.0011,0.995,657.5,11.0,0.4%
YML121W,0.0011,0.968,657.6,11.0,0.6%
YMR142C,0.0011,0.995,658.0,11.0,0.4%
YOR283W,0.0011,0.996,658.1,11.0,0.3%
YOR298C-A,0.0011,0.989,658.3,11.0,1.0%
YJL217W,0.0011,0.991,658.7,11.0,0.9%
YDL015C,0.0011,0.997,659.0,11.0,0.2%
YBR281C,0.0011,0.997,659.0,11.0,0.2%
YGL161C,0.0011,0.999,659.3,11.0,0.0%
YKR088C,0.0011,0.996,659.4,11.0,0.2%
YLR061W,0.0011,0.992,659.6,11.0,0.6%
YPL037C,0.0011,0.996,659.9,11.0,0.3%
YHR207C,0.0011,0.996,660.0,11.0,0.4%
YMR125W,0.0011,0.998,660.1,11.0,0.1%
YER136W,0.0010,1.000,660.3,11.0,0.0%
YJL138C,0.0010,0.997,660.7,11.0,0.2%
YKR059W,0.0010,0.997,660.7,11.0,0.2%
YPL260W,0.0010,0.999,661.1,11.0,0.1%
YDL051W,0.0010,0.996,661.1,11.0,0.3%
YJL115W,0.0010,0.996,661.4,11.0,0.3%
YAL011W,0.0010,0.999,661.4,11.0,0.1%
YGL173C,0.0010,0.998,662.0,11.0,0.2%
YPL001W,0.0010,0.999,662.0,11.0,0.1%
YKL145W,0.0010,0.998,662.1,11.0,0.2%
YDL083C,0.0010,0.995,662.1,11.0,0.4%
YMR143W,0.0010,0.995,662.1,11.0,0.4%
YOL008W,0.0010,0.998,662.1,11.0,0.2%
YJR005W,0.0010,0.998,662.4,11.0,0.2%
YDL135C,0.0010,0.998,662.7,11.0,0.2%
YHR113W,0.0010,0.997,662.7,11.0,0.3%
YMR120C,0.0010,0.956,662.8,11.0,1.6%
YBL075C,0.0010,0.908,662.9,11.0,3.5%
YNL049C,0.0010,1.000,663.0,11.0,0.0%
YDR211W,0.0010,0.996,663.8,11.1,0.2%
YML069W,0.0010,0.997,664.2,11.1,0.2%
YMR139W,0.0010,1.000,664.8,11.1,0.0%
YHR111W,0.0010,0.997,665.0,11.1,0.3%
YER029C,0.0010,0.995,665.0,11.1,0.4%
YPL225W,0.0010,0.997,665.9,11.1,0.2%
YNL044W,0.0010,0.998,665.9,11.1,0.1%
YGL208W,0.0010,0.999,666.3,11.1,0.2%
YLR270W,0.0010,0.999,666.4,11.1,0.1%
YOR124C,0.0010,0.999,666.5,11.1,0.1%
YDR283C,0.0010,0.998,666.8,11.1,0.1%
YML131W,0.0010,0.981,667.0,11.1,0.8%
YFL037W,0.0010,0.995,667.0,11.1,0.4%
YNL163C,0.0010,0.999,667.0,11.1,0.0%
YLR420W,0.0010,0.995,667.0,11.1,0.4%
YCL009C,0.0010,0.990,667.6,11.1,0.8%
YOL077C,0.0010,0.998,667.7,11.1,0.1%
YLR060W,0.0010,0.997,667.8,11.1,0.3%
YBR252W,0.0010,0.997,667.9,11.1,0.2%
YPL252C,0.0010,0.999,668.2,11.1,0.0%
YKR027W,0.0010,0.998,668.9,11.1,0.3%
YDR484W,0.0010,0.999,669.8,11.2,0.1%
YGR211W,0.0010,0.995,669.8,11.2,0.4%
YHR107C,0.0010,0.994,669.9,11.2,0.5%
YOR259C,0.0010,0.999,670.5,11.2,0.1%
YBR278W,0.0010,0.998,670.6,11.2,0.1%
YKL006C-A,0.0010,0.995,670.9,11.2,0.1%
YLR429W,0.0010,0.998,671.0,11.2,0.2%
YML101C,0.0010,0.991,671.4,11.2,1.0%
YLR399C,0.0010,0.991,671.5,11.2,0.3%
YLL050C,0.0010,0.997,671.8,11.2,0.2%
YDR050C,0.0010,0.997,672.2,11.2,0.3%
YDR539W,0.0010,0.997,672.3,11.2,0.4%
YKL142W,0.0010,0.998,672.8,11.2,0.1%
YKL212W,0.0010,0.996,672.9,11.2,0.4%
YGR062C,0.0010,1.000,673.7,11.2,0.0%
YNL264C,0.0010,0.996,673.7,11.2,0.4%
YEL020C,0.0010,0.991,673.8,11.2,1.5%
YNL293W,0.0010,0.993,674.1,11.2,1.0%
YER154W,0.0010,0.999,674.6,11.2,0.0%
YER131W,0.0010,0.995,674.6,11.2,0.3%
YNL010W,0.0010,0.995,674.7,11.2,0.4%
YMR061W,0.0010,0.996,674.9,11.2,0.2%
YDL029W,0.0010,0.999,675.0,11.3,0.1%
YDL130W,0.0010,0.996,675.2,11.3,0.2%
YPL249C,0.0010,0.991,675.4,11.3,0.4%
YHR181W,0.0010,0.985,675.6,11.3,1.8%
YPR144C,0.0010,0.992,675.8,11.3,0.5%
YPR175W,0.0010,0.916,676.3,11.3,6.4%
YMR296C,0.0010,0.998,676.6,11.3,0.1%
YPR036W,0.0010,0.997,676.9,11.3,0.3%
YHL038C,0.0010,0.983,677.1,11.3,2.1%
YOR112W,0.0010,0.988,677.4,11.3,0.3%
YGR090W,0.0010,0.999,677.4,11.3,0.1%
YIL142W,0.0010,0.998,677.6,11.3,0.2%
YPR025C,0.0010,0.998,677.7,11.3,0.1%
YGL252C,0.0010,0.997,677.8,11.3,0.2%
YKL192C,0.0010,0.997,678.1,11.3,0.2%
YLR199C,0.0010,0.999,678.1,11.3,0.1%
YDR293C,0.0010,0.997,678.4,11.3,0.2%
YOR184W,0.0010,0.999,678.5,11.3,0.1%
YNL126W,0.0010,0.998,678.6,11.3,0.1%
YGR262C,0.0010,0.996,680.2,11.3,0.3%
YOL052C,0.0010,0.995,680.2,11.3,0.4%
YML063W,0.0010,0.993,680.4,11.3,0.5%
YDR093W,0.0010,0.998,680.4,11.3,0.2%
YDL219W,0.0010,0.994,680.5,11.3,0.4%
YDR434W,0.0010,0.999,680.8,11.3,0.0%
YJR144W,0.0010,0.999,681.0,11.3,0.0%
YBR088C,0.0010,0.996,681.4,11.4,0.2%
YDL116W,0.0010,0.999,681.5,11.4,0.1%
YLR357W,0.0010,0.995,681.5,11.4,0.4%
YMR079W,0.0010,0.997,681.6,11.4,0.2%
YNL064C,0.0010,0.991,681.7,11.4,0.7%
YMR047C,0.0010,0.999,681.7,11.4,0.1%
YPL222W,0.0010,0.995,681.7,11.4,0.6%
YJL011C,0.0010,0.994,681.8,11.4,0.4%
YFR053C,0.0010,0.982,681.9,11.4,0.9%
YNR016C,0.0010,0.995,682.0,11.4,0.3%
YGR253C,0.0010,0.998,682.6,11.4,0.1%
YDR400W,0.0010,0.996,682.8,11.4,0.2%
YLR373C,0.0010,0.982,682.8,11.4,1.9%
YLR195C,0.0010,0.997,683.1,11.4,0.2%
YOL097C,0.0010,0.995,683.7,11.4,0.3%
YNL263C,0.0010,0.990,684.0,11.4,1.4%
YGR119C,0.0010,0.994,684.3,11.4,0.3%
YGL013C,0.0010,1.000,684.3,11.4,0.1%
YDR476C,0.0010,0.993,684.5,11.4,0.4%
YHR079C,0.0010,0.706,684.6,11.4,8.4%
YKL207W,0.0010,0.999,685.0,11.4,0.1%
YDR152W,0.0010,0.999,685.3,11.4,0.0%
YER074W,0.0010,0.994,685.4,11.4,0.4%
YIL069C,0.0010,0.994,685.4,11.4,0.4%
YJL031C,0.0010,0.996,685.7,11.4,0.4%
YDL103C,0.0010,0.995,685.9,11.4,0.4%
YPL116W,0.0010,0.996,686.4,11.4,0.5%
YIL150C,0.0010,0.994,686.4,11.4,0.5%
YEL019C,0.0010,0.988,686.7,11.4,1.1%
YDR238C,0.0010,0.999,686.8,11.4,0.1%
YMR276W,0.0010,0.999,687.5,11.5,0.0%
YGL246C,0.0010,0.996,687.6,11.5,0.3%
YCR090C,0.0010,0.994,687.8,11.5,0.6%
YOR323C,0.0010,0.996,688.2,11.5,0.3%
YBL005W-B,0.0010,0.999,688.2,11.5,0.0%
YHL021C,0.0010,0.983,688.2,11.5,0.5%
YBL047C,0.0010,0.998,688.6,11.5,0.1%
YDR429C,0.0010,0.999,688.8,11.5,0.0%
YOR296W,0.0010,0.997,689.2,11.5,0.8%
YLR044C,0.0010,0.989,689.3,11.5,0.8%
YOR141C,0.0010,0.997,689.6,11.5,0.4%
YKL080W,0.0010,0.996,689.8,11.5,0.3%
YAR042W,0.0010,0.996,690.0,11.5,0.2%
YOR271C,0.0010,0.997,690.9,11.5,0.2%
YBL050W,0.0010,0.999,690.9,11.5,0.1%
YJR088C,0.0010,0.996,691.2,11.5,0.2%
YJL145W,0.0010,0.999,691.2,11.5,0.1%
YDL195W,0.0010,0.998,691.6,11.5,0.2%
YLR410W,0.0010,0.998,691.9,11.5,0.1%
YIL110W,0.0010,0.996,692.7,11.5,0.3%
YPL019C,0.0010,0.981,692.9,11.5,0.6%
YCL029C,0.0010,0.990,693.2,11.6,1.0%
YGR012W,0.0010,0.997,693.2,11.6,0.1%
YBR056W,0.0010,0.999,693.5,11.6,0.0%
YEL047C,0.0010,0.992,693.5,11.6,0.7%
YKL094W,0.0010,0.996,693.6,11.6,0.4%
YIL051C,0.0010,0.997,694.0,11.6,0.2%
YPR178W,0.0010,0.985,694.2,11.6,0.6%
YLR173W,0.0010,0.999,694.3,11.6,0.1%
YER008C,0.0010,0.992,694.4,11.6,0.9%
YMR230W,0.0010,0.995,694.5,11.6,0.4%
YOR293W,0.0010,0.995,694.5,11.6,0.4%
YER156C,0.0010,0.997,694.9,11.6,0.3%
YGL115W,0.0010,0.999,695.2,11.6,0.0%
YKL090W,0.0010,0.997,695.7,11.6,1.1%
YDR404C,0.0010,0.997,696.0,11.6,0.3%
YGR283C,0.0010,0.995,696.1,11.6,0.4%
YMR235C,0.0010,0.997,696.2,11.6,0.2%
YDL030W,0.0010,0.977,696.3,11.6,0.7%
YDR174W,0.0010,0.998,696.4,11.6,0.1%
YER177W,0.0010,0.997,696.5,11.6,0.3%
YMR027W,0.0010,0.999,696.7,11.6,0.1%
YML092C,0.0010,0.998,696.7,11.6,0.2%
YBR234C,0.0010,0.998,698.0,11.6,0.0%
YLR071C,0.0010,0.999,698.1,11.6,0.1%
YNL243W,0.0010,0.998,698.1,11.6,0.2%
YGR080W,0.0010,0.999,698.1,11.6,0.1%
YDR191W,0.0010,0.996,698.5,11.6,0.4%
YLR066W,0.0010,0.999,699.1,11.7,0.0%
YDL040C,0.0010,0.997,699.3,11.7,0.2%
YAL038W,0.0010,0.995,699.5,11.7,0.4%
YHR198C,0.0010,0.997,700.2,11.7,0.1%
YDR135C,0.0010,0.996,700.3,11.7,0.2%
YKR104W,0.0010,0.996,700.3,11.7,0.2%
YPR108W,0.0010,0.999,700.7,11.7,0.1%
YBR288C,0.0010,0.998,701.1,11.7,0.2%
YEL031W,0.0010,0.999,701.4,11.7,0.0%
YGL224C,0.0010,0.998,701.5,11.7,0.2%
YLR200W,0.0010,0.998,702.0,11.7,0.1%
YJR016C,0.0010,0.995,702.3,11.7,0.4%
YGL049C,0.0010,0.999,702.4,11.7,0.1%
YHL034C,0.0010,0.999,702.5,11.7,0.1%
YNL212W,0.0010,0.999,703.1,11.7,0.1%
YPR001W,0.0010,0.989,703.5,11.7,0.6%
YJR139C,0.0010,0.997,703.7,11.7,0.2%
YPR127W,0.0010,0.999,703.7,11.7,0.1%
YDR168W,0.0010,0.997,704.1,11.7,0.2%
YPR131C,0.0010,0.998,704.6,11.7,0.1%
YGL148W,0.0010,0.997,704.7,11.7,0.2%
YLL041C,0.0010,0.998,705.2,11.8,0.0%
YCL016C,0.0010,0.996,705.7,11.8,0.3%
YOR281C,0.0010,0.997,705.9,11.8,0.2%
YNL239W,0.0010,0.998,706.2,11.8,0.1%
YOR132W,0.0010,0.990,706.6,11.8,0.1%
YFL016C,0.0010,0.995,707.1,11.8,0.5%
YLL048C,0.0010,0.992,707.4,11.8,0.6%
YHR144C,0.0010,0.997,707.4,11.8,0.2%
YJL076W,0.0010,0.996,708.4,11.8,0.2%
YNR029C,0.0010,0.996,708.5,11.8,0.2%
YHR063C,0.0010,0.996,708.6,11.8,0.3%
YGR140W,0.0010,0.997,708.9,11.8,0.1%
YDL168W,0.0010,0.999,709.0,11.8,0.0%
YPL231W,0.0010,0.994,709.1,11.8,0.4%
YHR072W,0.0010,0.997,710.9,11.8,0.2%
YDL131W,0.0010,0.994,711.2,11.9,0.4%
YER062C,0.0010,0.998,711.4,11.9,0.1%
YGL019W,0.0010,0.998,712.1,11.9,0.2%
YPR172W,0.0010,0.996,713.4,11.9,0.3%
YML049C,0.0010,0.999,713.5,11.9,0.1%
YKR077W,0.0010,0.997,713.5,11.9,0.1%
YIR035C,0.0010,0.997,713.6,11.9,0.3%
YGL048C,0.0010,0.999,713.7,11.9,0.1%
YDL097C,0.0010,0.997,714.4,11.9,0.2%
YMR278W,0.0010,0.997,714.6,11.9,0.2%
YNR046W,0.0010,0.996,714.8,11.9,0.2%
YBR034C,0.0010,1.000,715.7,11.9,0.0%
YJL053W,0.0010,0.998,716.2,11.9,0.1%
YPR147C,0.0010,0.999,717.2,12.0,0.0%
YBL032W,0.0010,0.996,717.8,12.0,0.2%
YKR038C,0.0010,0.995,717.8,12.0,0.4%
YKL110C,0.0010,0.997,717.8,12.0,0.3%
YPL255W,0.0010,0.991,718.3,12.0,0.9%
YLR335W,0.0010,0.997,718.4,12.0,0.2%
YEL011W,0.0010,0.977,718.5,12.0,0.9%
YPL028W,0.0010,0.997,718.7,12.0,0.2%
YPR040W,0.0010,0.999,719.4,12.0,0.0%
YIL020C,0.0010,0.995,720.3,12.0,0.3%
YKL060C,0.0010,0.997,720.6,12.0,0.3%
YOR191W,0.0010,0.998,720.6,12.0,0.1%
YPL211W,0.0010,0.983,720.7,12.0,0.3%
YLR355C,0.0010,0.995,720.8,12.0,0.3%
YBR042C,0.0010,0.985,720.8,12.0,1.0%
YDL230W,0.0010,0.996,720.9,12.0,0.4%
YGL012W,0.0010,0.995,721.1,12.0,0.2%
YOR001W,0.0010,0.997,721.5,12.0,0.2%
YPR073C,0.0010,0.997,721.8,12.0,0.2%
YPL058C,0.0010,0.878,722.4,12.0,15.6%
YMR178W,0.0010,0.997,722.4,12.0,0.3%
YKR001C,0.0010,0.998,722.8,12.0,0.2%
YDR127W,0.0010,0.994,722.8,12.0,0.4%
YPL045W,0.0010,0.998,723.0,12.0,0.2%
YGL001C,0.0010,0.998,723.2,12.1,0.1%
YML079W,0.0010,0.999,723.3,12.1,0.1%
YBR255W,0.0010,1.000,723.3,12.1,0.0%
YBR080C,0.0010,0.998,723.6,12.1,0.1%
YJL080C,0.0010,0.994,723.7,12.1,0.4%
YBL023C,0.0010,0.999,723.8,12.1,0.1%
YGR277C,0.0010,0.994,724.4,12.1,0.5%
YDR044W,0.0010,0.990,724.5,12.1,0.8%
YGR218W,0.0010,0.998,724.7,12.1,0.1%
YER176W,0.0010,0.997,725.7,12.1,0.1%
YKL182W,0.0010,0.994,726.7,12.1,0.5%
YGR094W,0.0010,0.996,726.9,12.1,0.3%
YAL039C,0.0010,1.000,727.2,12.1,0.0%
YHR020W,0.0010,0.994,727.6,12.1,0.4%
YNL287W,0.0010,0.998,728.4,12.1,0.1%
YNL219C,0.0010,0.998,728.4,12.1,0.2%
YHL011C,0.0010,0.998,728.5,12.1,0.1%
YLR209C,0.0010,0.997,728.6,12.1,0.2%
YIL062C,0.0010,0.998,728.9,12.1,0.2%
YDR037W,0.0010,0.996,728.9,12.1,0.3%
YGR127W,0.0010,0.922,729.0,12.2,3.6%
YFR032C-A,0.0010,0.993,729.1,12.2,0.7%
YJR045C,0.0010,0.997,729.2,12.2,0.3%
YDR226W,0.0009,0.996,730.2,12.2,0.3%
YBR096W,0.0009,0.998,730.8,12.2,0.2%
YNL106C,0.0009,0.990,731.1,12.2,1.7%
YBR108W,0.0009,0.992,731.2,12.2,1.0%
YOL064C,0.0009,0.998,731.5,12.2,0.1%
YDR301W,0.0009,0.985,731.8,12.2,2.6%
YER016W,0.0009,0.995,732.3,12.2,0.4%
YOR362C,0.0009,0.998,732.3,12.2,0.2%
YLR351C,0.0009,0.998,732.8,12.2,0.1%
YLL012W,0.0009,0.999,732.8,12.2,0.1%
YDR427W,0.0009,0.998,732.9,12.2,0.2%
YGR037C,0.0009,0.998,733.0,12.2,0.1%
YPL070W,0.0009,0.993,733.4,12.2,0.6%
YKL160W,0.0009,0.996,733.7,12.2,0.2%
YML056C,0.0009,0.993,733.9,12.2,0.5%
YPL184C,0.0009,0.993,734.9,12.2,0.3%
YOR250C,0.0009,0.998,735.2,12.3,0.2%
YGR180C,0.0009,0.996,735.2,12.3,0.4%
YOR155C,0.0009,0.999,735.7,12.3,0.0%
YPL030W,0.0009,0.996,736.4,12.3,0.3%
YNR020C,0.0009,0.996,736.6,12.3,0.3%
YOR224C,0.0009,0.997,737.0,12.3,0.2%
YAL012W,0.0009,0.996,737.5,12.3,0.3%
YDR399W,0.0009,0.995,738.3,12.3,0.4%
YPR069C,0.0009,0.996,738.7,12.3,0.3%
YFL022C;,0.0009,0.996,738.8,12.3,0.3%
YHL012W,0.0009,0.996,738.8,12.3,0.3%
YGL172W,0.0009,0.999,739.1,12.3,0.1%
YDR363W,0.0009,0.994,739.4,12.3,0.4%
YER073W,0.0009,0.996,739.6,12.3,0.3%
YEL051W,0.0009,0.994,740.7,12.3,0.5%
YJL060W,0.0009,0.999,741.9,12.4,0.0%
YLR022C,0.0009,0.995,742.0,12.4,0.3%
YHR025W,0.0009,0.996,742.2,12.4,0.3%
YPR105C,0.0009,0.997,742.7,12.4,0.2%
YEL029C,0.0009,0.996,742.8,12.4,0.3%
YFR050C,0.0009,0.999,742.9,12.4,0.1%
YKL012W,0.0009,0.987,743.1,12.4,1.0%
YNL055C,0.0009,0.997,743.4,12.4,0.2%
YFR051C,0.0009,0.997,745.2,12.4,0.3%
YCL043C,0.0009,0.999,745.4,12.4,0.1%
YNR027W,0.0009,0.999,745.5,12.4,0.1%
YIL094C,0.0009,0.994,745.7,12.4,0.5%
YDL117W,0.0009,0.988,746.7,12.4,0.5%
YOR130C,0.0009,1.000,746.7,12.4,0.0%
YAL017W,0.0009,0.973,746.8,12.4,0.6%
YDR027C,0.0009,0.959,747.2,12.5,1.3%
YLL038C,0.0009,0.993,748.5,12.5,0.5%
YGR187C,0.0009,0.997,748.8,12.5,0.2%
YDR517W,0.0009,0.994,749.3,12.5,0.7%
YNL079C,0.0009,0.998,749.6,12.5,0.1%
YPL125W,0.0009,0.999,751.0,12.5,0.1%
YBR222C,0.0009,0.999,752.5,12.5,0.1%
YGL202W,0.0009,0.996,752.8,12.5,0.3%
YOR198C,0.0009,0.997,754.0,12.6,0.2%
YNR019W,0.0009,0.995,755.0,12.6,0.5%
YGL154C,0.0009,0.990,755.5,12.6,1.2%
YDR478W,0.0009,0.998,756.9,12.6,0.1%
YKL135C,0.0009,0.997,756.9,12.6,0.2%
YPR060C,0.0009,0.997,758.7,12.6,0.2%
YLL031C,0.0009,0.992,759.0,12.6,0.6%
YJR142W,0.0009,0.997,759.0,12.7,0.3%
YER012W,0.0009,0.998,759.4,12.7,0.2%
YGL169W,0.0009,0.983,760.2,12.7,0.8%
YOR149C,0.0009,0.985,760.2,12.7,0.3%
YLR119W,0.0009,0.999,761.4,12.7,0.1%
YBR082C,0.0009,0.995,761.5,12.7,0.4%
YLR027C,0.0009,0.994,762.4,12.7,0.5%
YKL213C,0.0009,1.000,762.5,12.7,0.0%
YKL193C,0.0009,0.999,762.5,12.7,0.1%
YLR405W,0.0009,0.998,763.2,12.7,0.1%
YGR248W,0.0009,0.992,763.6,12.7,0.5%
YKL041W,0.0009,0.999,764.2,12.7,0.1%
YGR274C,0.0009,0.996,764.6,12.7,0.3%
YGR007W,0.0009,0.995,764.8,12.7,0.9%
YDL061C,0.0009,0.991,764.9,12.7,0.4%
YGR240C,0.0009,0.997,766.0,12.8,0.2%
YIL137C,0.0009,0.998,766.5,12.8,0.2%
YGL200C,0.0009,0.998,767.0,12.8,0.1%
YBR017C,0.0009,0.996,767.5,12.8,0.3%
YJR134C,0.0009,0.997,767.7,12.8,0.2%
YLR259C,0.0009,0.992,767.8,12.8,0.6%
YKR074W,0.0009,0.998,768.2,12.8,0.1%
YNL016W,0.0009,0.996,768.4,12.8,0.3%
YPL113C,0.0009,0.991,769.1,12.8,1.5%
YGR192C,0.0009,0.995,769.3,12.8,0.4%
YBR169C,0.0009,0.999,770.0,12.8,0.1%
YNL290W,0.0009,0.999,770.5,12.8,0.1%
YOR270C,0.0009,0.995,771.1,12.9,0.3%
YLR450W,0.0009,0.997,771.7,12.9,0.3%
YDR210W,0.0009,0.994,772.2,12.9,0.6%
YPL086C,0.0009,0.998,773.3,12.9,0.0%
YIL116W,0.0009,0.994,773.9,12.9,0.5%
YGR100W,0.0009,0.991,774.3,12.9,0.7%
YML124C,0.0009,0.995,774.7,12.9,0.4%
YFR024C-A,0.0009,1.000,776.4,12.9,0.0%
YPL106C,0.0009,0.997,777.2,13.0,0.2%
YKR026C,0.0009,0.998,777.4,13.0,0.1%
YDR435C,0.0009,0.577,778.2,13.0,8.6%
YLR364W,0.0009,0.990,781.5,13.0,1.2%
YLR047C,0.0009,0.999,782.7,13.0,0.2%
YHL030W,0.0009,0.999,782.9,13.0,0.1%
YKL073W,0.0009,0.997,783.0,13.1,0.2%
YPL144W,0.0009,1.000,783.3,13.1,0.0%
YKL104C,0.0009,0.998,783.6,13.1,0.1%
YLR231C,0.0009,0.998,783.8,13.1,0.1%
YDL100C,0.0009,0.998,783.8,13.1,0.2%
YBL107C,0.0009,0.997,784.4,13.1,0.1%
YHR167W,0.0009,0.995,785.0,13.1,0.5%
YIL156W-B,0.0009,1.000,785.1,13.1,0.0%
YKL029C,0.0009,0.994,785.2,13.1,0.3%
YJR117W,0.0009,0.998,785.7,13.1,0.2%
YBL098W,0.0009,0.990,786.0,13.1,0.9%
YDL217C,0.0009,0.961,786.0,13.1,1.8%
YJR040W,0.0009,0.997,786.4,13.1,0.3%
YLR253W,0.0009,0.999,786.8,13.1,0.2%
YPR139C,0.0009,0.997,786.9,13.1,0.2%
YLR396C,0.0009,0.998,787.4,13.1,0.1%
YJR083C,0.0009,0.997,788.2,13.1,0.1%
YDR530C,0.0009,0.998,789.4,13.2,0.1%
YOR131C,0.0009,0.998,790.0,13.2,0.1%
YDL198C,0.0009,0.993,790.5,13.2,0.6%
YDL182W,0.0009,0.999,791.5,13.2,0.0%
YOL146W,0.0009,0.999,791.6,13.2,0.1%
YBR196C,0.0009,0.996,793.0,13.2,0.3%
YER003C,0.0009,0.995,793.3,13.2,0.3%
YOL111C,0.0009,0.997,794.2,13.2,0.2%
YGR204W,0.0009,0.999,794.3,13.2,0.1%
YOR020C,0.0009,0.995,795.5,13.3,0.3%
YIL068C,0.0009,0.991,796.6,13.3,0.4%
YKR068C,0.0009,1.000,796.8,13.3,0.0%
YNL274C,0.0009,0.992,797.4,13.3,0.3%
YDL215C,0.0009,0.994,799.4,13.3,0.2%
YDR332W,0.0009,1.000,800.7,13.3,0.0%
YMR308C,0.0009,0.996,801.7,13.4,0.2%
YMR267W,0.0009,0.997,801.8,13.4,0.1%
YPL119C,0.0009,0.997,802.3,13.4,0.2%
YDR291W,0.0009,0.995,804.4,13.4,0.6%
YJL068C,0.0009,0.987,804.9,13.4,0.5%
YOR244W,0.0009,0.997,805.5,13.4,0.2%
YBR218C,0.0009,0.998,805.8,13.4,0.1%
YDR368W,0.0009,0.998,806.2,13.4,0.2%
YLR208W,0.0009,0.998,806.7,13.4,0.2%
YLR100W,0.0009,0.997,807.1,13.5,0.2%
YHR049W,0.0009,0.993,808.2,13.5,0.6%
YKL211C,0.0009,0.996,808.7,13.5,0.4%
YKL116C,0.0009,0.979,808.8,13.5,2.4%
YMR304W,0.0009,0.998,809.1,13.5,0.2%
YPR074C,0.0009,0.997,809.2,13.5,0.2%
YGL196W,0.0009,0.999,809.3,13.5,0.1%
YJR099W,0.0009,0.999,809.5,13.5,0.0%
YER168C,0.0009,0.996,810.2,13.5,0.1%
